輯別	書名	文章題名	作品描述(或後記)內容	推定日期	推斷來源	總字數	檔案名稱
第一輯 教義論述類	戒律學綱要	第二章　沙彌戒與沙彌的類別		1965.03	年譜附錄聖嚴法師重要著述所載出書日	4,217	01-03-014.txt
第一輯 教義論述類	戒律學綱要	第三章　沙彌投師與沙彌出家		1965.03	年譜附錄聖嚴法師重要著述所載出書日	5,077	01-03-015.txt
第一輯 教義論述類	戒律學綱要	第四章　沙彌受戒及其持犯威儀		1965.03	年譜附錄聖嚴法師重要著述所載出書日	7,136	01-03-016.txt
第一輯 教義論述類	戒律學綱要	第五章　式叉摩尼的種種		1965.03	年譜附錄聖嚴法師重要著述所載出書日	4,337	01-03-017.txt
第一輯 教義論述類	戒律學綱要	緒說		1965.03	年譜附錄聖嚴法師重要著述所載出書日	708	01-03-018.txt
第一輯 教義論述類	戒律學綱要	第一章　比丘及比丘尼的起源		1965.03	年譜附錄聖嚴法師重要著述所載出書日	2,782	01-03-019.txt
第一輯 教義論述類	戒律學綱要	第二章　僧尼戒律的由來及種類		1965.03	年譜附錄聖嚴法師重要著述所載出書日	5,468	01-03-020.txt
第一輯 教義論述類	戒律學綱要	第三章　比丘比丘尼戒的內容及其同異		1965.03	年譜附錄聖嚴法師重要著述所載出書日	6,622	01-03-021.txt
第一輯 教義論述類	戒律學綱要	第四章　比丘及比丘尼的重要戒		1965.03	年譜附錄聖嚴法師重要著述所載出書日	9,407	01-03-022.txt
第一輯 教義論述類	戒律學綱要	第五章　羯磨法與懺悔法		1965.03	年譜附錄聖嚴法師重要著述所載出書日	6,445	01-03-023.txt
第一輯 教義論述類	戒律學綱要	第一章　菩薩的層次與境界		1965.03	年譜附錄聖嚴法師重要著述所載出書日	8,408	01-03-024.txt
第一輯 教義論述類	戒律學綱要	第二章　菩薩戒的內容與分別		1965.03	年譜附錄聖嚴法師重要著述所載出書日	6,300	01-03-025.txt
第一輯 教義論述類	戒律學綱要	第三章　菩薩戒的重戒與輕戒		1965.03	年譜附錄聖嚴法師重要著述所載出書日	5,479	01-03-026.txt
第一輯 教義論述類	戒律學綱要	第四章　菩薩戒的授受與條件		1965.03	年譜附錄聖嚴法師重要著述所載出書日	7,988	01-03-027.txt
第一輯 教義論述類	戒律學綱要	第五章　菩薩戒的秉受方法		1965.03	年譜附錄聖嚴法師重要著述所載出書日	6,568	01-03-028.txt
第一輯 教義論述類	戒律學綱要	第六章　受了菩薩戒之後		1965.03	年譜附錄聖嚴法師重要著述所載出書日	4,223	01-03-029.txt
第一輯 教義論述類	比較宗教學	自序	一九六八年四月聖嚴寫於臺北市	#NAME?	作品陳述所載日期	554	01-04-001.txt
第一輯 教義論述類	比較宗教學	第一章　原始宗教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	12,632	01-04-002.txt
第一輯 教義論述類	比較宗教學	第二章　未開化民族的宗教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	13,584	01-04-003.txt
第一輯 教義論述類	比較宗教學	第三章　古代民族的宗教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	16,455	01-04-004.txt
第一輯 教義論述類	比較宗教學	第四章　印度的宗教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	27,982	01-04-005.txt
第一輯 教義論述類	比較宗教學	第五章　中國的宗教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	27,950	01-04-006.txt
第一輯 教義論述類	比較宗教學	第六章　少數人的宗教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	13,199	01-04-007.txt
第一輯 教義論述類	比較宗教學	第七章　猶太教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	19,526	01-04-008.txt
第一輯 教義論述類	比較宗教學	第八章　基督教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	26,689	01-04-009.txt
第一輯 教義論述類	比較宗教學	第九章　伊斯蘭教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	14,949	01-04-010.txt
第一輯 教義論述類	比較宗教學	第十章　佛教		1968.06	年譜附錄聖嚴法師重要著述所載出書日	30,341	01-04-011.txt
第一輯 教義論述類	基督教之研究	自序		1967.04	年譜附錄聖嚴法師重要著述所載出書日	445	01-05-001.txt
第一輯 教義論述類	基督教之研究	再版自序	一九八七年八月三日序於臺北北投中華佛學研究所	#NAME?	作品陳述所載日期	820	01-05-002.txt
第一輯 教義論述類	基督教之研究	第一章　今日的基督教與佛教		1966	年譜所載出書/文章日	10,024	01-05-003.txt
第一輯 教義論述類	基督教之研究	第二章　牧師及神父的「佛教學」		1966.02	年譜所載出書/文章日	22,829	01-05-004.txt
第一輯 教義論述類	基督教之研究	第三章　基督教的「神」之研究		1966	年譜所載出書/文章日	16,073	01-05-005.txt
第一輯 教義論述類	基督教之研究	第四章　基督教的「偉大」在哪裡		1966	年譜所載出書/文章日	43,196	01-05-006.txt
第一輯 教義論述類	基督教之研究	第五章　基督教與佛教的影響及價值		1966	年譜所載出書/文章日	17,542	01-05-007.txt
第一輯 教義論述類	基督教之研究	附錄 《評駁佛教與基督教的比較》	一九八三年九月二十五日夜於臺北北投農禪寺聖嚴序	1956.08	年譜所載出書/文章日	47,960	01-05-008.txt
第一輯 教義論述類	菩薩戒指要	自序	一九九五年六月十八日聖嚴序於紐約東初禪寺	#NAME?	作品陳述所載日期	1,627	01-06-001.txt
第一輯 教義論述類	菩薩戒指要	傳統戒律與現代世界	（一九九二年七月十八日於中華佛學研究所召開的第二屆國際學術會議的主題演說）	#NAME?	作品陳述所載日期	4,141	01-06-002.txt
第一輯 教義論述類	菩薩戒指要	從三聚淨戒論菩薩戒的時空適應	（本文發表於一九九二年中華佛學研究所召開的第二屆國際學術會議，刊於《中華佛學學報》第六期）	#NAME?	作品陳述所載日期	27,805	01-06-003.txt
第一輯 教義論述類	菩薩戒指要	十善業道是菩薩戒的共軌	（一九九四年十二月十三日至十二月二十五日撰成於美國紐約東初禪寺，刊於一九九五年《中華佛學學報》第八期）	#NAME?	作品陳述所載日期	17,879	01-06-004.txt
第一輯 教義論述類	菩薩戒指要	明末的菩薩戒	（本文係為一九九○年一月中華佛學研究所召開第一屆國際學術會議論文發表而寫，曾被收集於臺北東大圖書公司一九九○年印行的《從傳統到現代》論集）	#NAME?	作品陳述所載日期	6,426	01-06-005.txt
第一輯 教義論述類	菩薩戒指要	明末中國的戒律復興	（本文撰於一九八九年，曾被收集於一九九○年十月臺北東大圖書公司印行的《從傳統到現代》論集）	#NAME?	作品陳述所載日期	8,038	01-06-006.txt
第一輯 教義論述類	菩薩戒指要	適應時空的菩薩戒會	（刊於一九九二年四月十五日《法鼓》雜誌第四十期）	#NAME?	作品陳述所載日期	795	01-06-007.txt
第一輯 教義論述類	菩薩戒指要	勉勵「萬行菩薩」都受菩薩戒	（本文為一九九三年二月北投農禪寺傳授第一屆菩薩戒會而撰）	#NAME?	作品陳述所載日期	2,561	01-06-008.txt
第一輯 教義論述類	菩薩戒指要	對在家菩薩戒的認識	（聖嚴法師於法鼓山北投農禪寺第一屆在家菩薩戒會說戒內容，許文藍編整，刊於《法鼓》雜誌四十期）	1993.02	年譜附錄聖嚴法師重要著述所載出書日	1,095	01-06-009.txt
第二輯 佛教史類	印度佛教史	第一章　緒說		1969.09	年譜附錄聖嚴法師重要著述所載出書日	7,102	02-01-002.txt
第二輯 佛教史類	印度佛教史	第二章　釋迦世尊		1969.09	年譜附錄聖嚴法師重要著述所載出書日	14,191	02-01-003.txt
第二輯 佛教史類	印度佛教史	第三章　原始佛教與三藏聖典		1969.09	年譜附錄聖嚴法師重要著述所載出書日	11,825	02-01-004.txt
第二輯 佛教史類	印度佛教史	第四章　阿育王與大天		1969.09	年譜附錄聖嚴法師重要著述所載出書日	7,543	02-01-005.txt
第二輯 佛教史類	印度佛教史	第五章　部派佛教的分張		1969.09	年譜附錄聖嚴法師重要著述所載出書日	8,445	02-01-006.txt
第二輯 佛教史類	印度佛教史	第六章　大眾部及有部的教義		1969.09	年譜附錄聖嚴法師重要著述所載出書日	11,930	02-01-007.txt
第二輯 佛教史類	印度佛教史	第七章　阿育王以後的王朝及佛教藝術		1969.09	年譜附錄聖嚴法師重要著述所載出書日	14,208	02-01-008.txt
第二輯 佛教史類	印度佛教史	第八章　初期的大乘佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	13,493	02-01-009.txt
第二輯 佛教史類	印度佛教史	第九章　龍樹系的大乘佛教及其後的經典		1969.09	年譜附錄聖嚴法師重要著述所載出書日	13,370	02-01-010.txt
第二輯 佛教史類	印度佛教史	第十章　無著系的大乘佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	12,030	02-01-011.txt
第二輯 佛教史類	印度佛教史	第十一章　笈多王朝及其後的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	7,778	02-01-012.txt
第二輯 佛教史類	印度佛教史	第十二章　從密教盛行到近代佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	17,756	02-01-013.txt
第二輯 佛教史類	西藏佛教史	第一章　西藏的歷史與環境		1969.09	年譜附錄聖嚴法師重要著述所載出書日	8,797	02-02-002.txt
第二輯 佛教史類	西藏佛教史	第二章　前傳的西藏佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	14,195	02-02-003.txt
第二輯 佛教史類	西藏佛教史	第三章　後傳的西藏佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	15,586	02-02-004.txt
第二輯 佛教史類	西藏佛教史	第四章　宗喀巴及其佛學思想		1969.09	年譜附錄聖嚴法師重要著述所載出書日	11,531	02-02-005.txt
第二輯 佛教史類	西藏佛教史	第五章　西藏佛教的文物		1969.09	年譜附錄聖嚴法師重要著述所載出書日	12,135	02-02-006.txt
第二輯 佛教史類	西藏佛教史	第六章　西藏佛教的特色		1969.09	年譜附錄聖嚴法師重要著述所載出書日	15,008	02-02-007.txt
第二輯 佛教史類	西藏佛教史	第七章　政教關係及其制度		1969.09	年譜附錄聖嚴法師重要著述所載出書日	14,662	02-02-008.txt
第二輯 佛教史類	日韓佛教史略	第一章　古代的日本及其初期的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	11,167	02-03-002.txt
第二輯 佛教史類	日韓佛教史略	第二章　奈良時代的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	9,633	02-03-003.txt
第二輯 佛教史類	日韓佛教史略	第三章　平安時代的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	11,559	02-03-004.txt
第二輯 佛教史類	日韓佛教史略	第四章　鎌倉時代的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	12,824	02-03-005.txt
第二輯 佛教史類	日韓佛教史略	第五章　南北朝及室町時代的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	8,598	02-03-006.txt
第二輯 佛教史類	日韓佛教史略	第六章　江戶時代的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	9,256	02-03-007.txt
第二輯 佛教史類	日韓佛教史略	第七章　明治維新以後的佛教		1969.09	年譜附錄聖嚴法師重要著述所載出書日	9,464	02-03-008.txt
第二輯 佛教史類	日韓佛教史略	第一章　佛教初傳的時期		1993.11	年譜附錄聖嚴法師重要著述所載出書日	5,018	02-03-009.txt
第二輯 佛教史類	日韓佛教史略	第二章　禪宗勃興的時期		1993.11	年譜附錄聖嚴法師重要著述所載出書日	4,144	02-03-010.txt
第二輯 佛教史類	日韓佛教史略	第三章　禪教並行與祈禱佛教		1993.11	年譜附錄聖嚴法師重要著述所載出書日	4,296	02-03-011.txt
第二輯 佛教史類	日韓佛教史略	第四章　知訥的曹溪宗		1993.11	年譜附錄聖嚴法師重要著述所載出書日	3,587	02-03-012.txt
第二輯 佛教史類	日韓佛教史略	第五章　高麗後期的禪師及排佛運動		1993.11	年譜附錄聖嚴法師重要著述所載出書日	5,940	02-03-013.txt
第二輯 佛教史類	日韓佛教史略	第六章　李朝的興儒排佛運動		1993.11	年譜附錄聖嚴法師重要著述所載出書日	6,041	02-03-014.txt
第二輯 佛教史類	日韓佛教史略	第七章　佛教義軍及其龍象		1993.11	年譜附錄聖嚴法師重要著述所載出書日	5,608	02-03-015.txt
第二輯 佛教史類	日韓佛教史略	第八章　朝鮮末期的佛教		1993.11	年譜附錄聖嚴法師重要著述所載出書日	6,286	02-03-016.txt
第二輯 佛教史類	日韓佛教史略	第九章　近代的韓國佛教		1993.11	年譜附錄聖嚴法師重要著述所載出書日	2,055	02-03-017.txt
第二輯 佛教史類	日韓佛教史略	附錄一 越南佛教史略	（一九六六年四月二十七日稿於關房）	#NAME?	作品陳述所載日期	14,565	02-03-018.txt
第二輯 佛教史類	日韓佛教史略	附錄二 美國佛教的源流	（一九七六年五月九日講於美國佛教會佛誕法會）	#NAME?	作品陳述所載日期	3,222	02-03-019.txt
第二輯 佛教史類	日韓佛教史略	附錄三 錫蘭的佛教	（一九七一年九月二十日《慈航》季刊三十五號）	#NAME?	作品陳述所載日期	12,369	02-03-020.txt
第三輯 文集類	學術論考	天台思想的一念三千	（一九七二年五月十六日中文稿完成，刊於《內明》雜誌第三、四期）	#NAME?	作品陳述所載日期	7,985	03-01-001.txt
第三輯 文集類	學術論考	密教之考察	（一九八二年六月十三日脫稿於美國紐約禪中心，刊於一九八二年十一月一日《普門》雜誌三十八期）	#NAME?	作品陳述所載日期	15,406	03-01-002.txt
第三輯 文集類	學術論考	禪的本質	（一九七八年十一月十九日講於大專佛學講座，芥子居士錄音整理）	#NAME?	作品陳述所載日期	14,588	03-01-003.txt
第三輯 文集類	學術論考	中國佛教的特色──禪與禪宗	（一九八○年十月十日《華岡佛學學報》第四期）	#NAME?	作品陳述所載日期	12,566	03-01-004.txt
第三輯 文集類	學術論考	中國佛教以《法華經》為基礎的修行方法	（本文曾於一九九四年七月在臺北「佛教與中國文化國際學術會議」中宣讀發表，並刊於《中華佛學學報》第七期）	#NAME?	作品陳述所載日期	12,040	03-01-005.txt
第三輯 文集類	學術論考	和尚與僧伽	（刊於一九六五年十一月十三日《中央日報》副刊）	#NAME?	作品陳述所載日期	1,252	03-01-006.txt
第三輯 文集類	學術論考	正法律中的僧尼衣制及其上下座次	（世佛紀二五○九年四月二日於朝元寺關房，《海潮音》四十六卷四月號）	#NAME?	作品陳述所載日期	8,787	03-01-007.txt
第三輯 文集類	學術論考	附錄 我對統一僧尼服色的看法	（刊於《覺世》二八二期）	1965.03	作品陳述-DILA總圖期刊所載《覺世》出刊日	1,753	03-01-008.txt
第三輯 文集類	學術論考	近代的佛教學	（刊於《獅子吼》十卷九期）	1971.09	作品陳述-年譜所載《獅子吼》出刊日	9,644	03-01-009.txt
第三輯 文集類	學術論考	今日的臺灣佛教及其面臨的問題	（一九六七年七月於臺灣關房）	#NAME?	作品陳述所載日期	14,215	03-01-010.txt
第三輯 文集類	學術論考	中國佛教藝術的價值	（一九六八年十二月一日，刊於《佛教文化》第十一期）	1968.08	作品陳述-年譜所載文章出刊日	11,929	03-01-011.txt
第三輯 文集類	學術論考	從佛教的觀點談科學	（一九七八年十二月九日講於淡江文理學院中國宗教哲學研究社，芥子、杜正民居士錄音整理）	#NAME?	作品陳述所載日期	16,006	03-01-012.txt
第三輯 文集類	學術論考	印順長老的護教思想與現代社會	（本文於一九九一年四月七日「印順導師思想研討會」中宣讀，地點是臺北市國立師範大學國際會議廳）	#NAME?	作品陳述所載日期	3,077	03-01-013.txt
第三輯 文集類	學術論考	現代臺灣佛教的學術研究		1991.10	後記所載日期	7,192	03-01-014.txt
第三輯 文集類	學術論考	佛教與中國文化	（聖嚴完稿於一九九四年五月十九日的深夜紐約東初禪寺。刊於一九九四年八月《人生》一三二期）	#NAME?	作品陳述所載日期	5,682	03-01-015.txt
第三輯 文集類	學術論考	佛教藝術的承先啟後	（一九九八年四月十一日講於臺大思亮館「佛教文學與藝術學術研討會」）	#NAME?	作品陳述所載日期	7,536	03-01-016.txt
第三輯 文集類	學術論考	中國佛教建築  ——佛教建築設計與發展國際研討會主題演講	（一九九八年元月四日上午九點至九點三十分講於臺北市慧日講堂）	#NAME?	作品陳述所載日期	5,739	03-01-017.txt
第三輯 文集類	學術論考	印順長老著述中的真常唯心論  ——我讀《大乘起信論講記》	（二○○○年一月二十二日發表於臺灣大學第二學生活動中心國際會議廳）	#NAME?	作品陳述所載日期	8,937	03-01-018.txt
第三輯 文集類	學術論考	法顯大師對於漢傳佛教文化的影響及啟示	（二○○三年九月九日於青島）	#NAME?	作品陳述所載日期	7,374	03-01-019.txt
第三輯 文集類	學術論考	從東亞思想談現代人的心靈環保	（二○○三年十月二十三日講於北京大學）	#NAME?	作品陳述所載日期	9,805	03-01-020.txt
第三輯 文集類	學術論考	佛教在二十一世紀的社會功能及其修行觀念	（二○○二年一月十八日講於中央研究院學術活動中心）	#NAME?	作品陳述所載日期	7,312	03-01-021.txt
第三輯 文集類	學術論考	漢傳佛教文化及其古文物	（二○○二年十二月十八日講於山東大學）	#NAME?	作品陳述所載日期	17,041	03-01-022.txt
第三輯 文集類	學術論考	萬別千差一掃空  ——管窺黃檗隱元禪師	（二○○三年十一月十五日法鼓山僧釋聖嚴撰於美國東初禪寺）	#NAME?	作品陳述所載日期	5,409	03-01-023.txt
第三輯 文集類	神通與人通―宗教人生	從人生的痛苦到人性的昇華	（《人生》雜誌十卷四期）	1958.04	作品陳述-東初網站《人生》（舊）出刊日	8,368	03-02-002.txt
第三輯 文集類	神通與人通―宗教人生	人心的安頓和自性的超脫	（一九五八年五月十日新店病中，刊於《人生》雜誌十卷六期）	#NAME?	作品陳述所載日期	10,566	03-02-003.txt
第三輯 文集類	神通與人通―宗教人生	從人與人間到解脫之路	（一九五八年八月於新店軍中，刊於《人生》雜誌十卷八期）	#NAME?	作品陳述所載日期	4,766	03-02-004.txt
第三輯 文集類	神通與人通―宗教人生	走在缺陷處處的人生道上	（一九五八年十二月於新店，刊於《海潮音》雜誌四十卷一及二期）	#NAME?	作品陳述所載日期	12,690	03-02-005.txt
第三輯 文集類	神通與人通―宗教人生	再談走在缺陷處處的人生道上	（一九五九年元月於新店，刊於《人生》雜誌十一卷二期）	#NAME?	作品陳述所載日期	8,828	03-02-006.txt
第三輯 文集類	神通與人通―宗教人生	蒼涼的人生	（一九六二年五月於美濃，刊於香港《人生》雜誌二七八期）	#NAME?	作品陳述所載日期	2,588	03-02-007.txt
第三輯 文集類	神通與人通―宗教人生	人格在寂寞中昇華	（一九六二年十一月於美濃，刊於香港《人生》雜誌二九○期）	#NAME?	作品陳述所載日期	3,791	03-02-008.txt
第三輯 文集類	神通與人通―宗教人生	怎樣準備人生的最後		1964.07	前身著作初版日期	3,289	03-02-009.txt
第三輯 文集類	神通與人通―宗教人生	談神通與人通	（一九五九年一月，刊於《人生》雜誌十一卷一期）	#NAME?	作品陳述所載日期	6,511	03-02-010.txt
第三輯 文集類	神通與人通―宗教人生	理想的社會	（一九五七年八月，刊於《人生》雜誌九卷八期）	#NAME?	作品陳述所載日期	4,636	03-02-011.txt
第三輯 文集類	神通與人通―宗教人生	美麗的未來境界	（一九五七年雙十節，刊於《人生》雜誌九卷十一期）	1957.10	作品陳述所載日期	8,084	03-02-012.txt
第三輯 文集類	神通與人通―宗教人生	宗教行為與宗教現象	（一九八一年九月二十日下午三至六點，由中華民國宗教哲學研究社第二十六次學術演講會，邀請講於淡江大學城區部中正紀念堂，刊於一九八二年二月二十八日《中國佛教》雜誌二十六卷第五期）	#NAME?	作品陳述所載日期	17,691	03-02-013.txt
第三輯 文集類	神通與人通―宗教人生	東西方宗教的會流		1984.05	年譜聖嚴師父著作繫年表	2,571	03-02-014.txt
第三輯 文集類	神通與人通―宗教人生	論佛教與基督教的同異	（刊於《中國佛教》三卷二期）	1958.10	作品陳述-年譜所載文章出刊日	10,267	03-02-015.txt
第三輯 文集類	神通與人通―宗教人生	再論佛教與基督教的同異	（刊於《中國佛教》三卷八期）	1959.04	作品陳述-年譜所載文章出刊日	9,011	03-02-016.txt
第三輯 文集類	神通與人通―宗教人生	人的佛教	（一九七八年三月十四日講於臺中逢甲學院，刊於一九七八年六月八日《菩提樹》雜誌三○七期）	#NAME?	作品陳述所載日期	5,672	03-02-017.txt
第三輯 文集類	神通與人通―宗教人生	佛教的孝道精神	（一九八三年三月一日講於華岡第六十六次宗教道德講論會）	#NAME?	作品陳述所載日期	2,105	03-02-018.txt
第三輯 文集類	神通與人通―宗教人生	佛教對福壽康寧的看法	（一九八三年三月三日及四日下午七點半至九點半講於高雄市立圖書館中興堂）	#NAME?	作品陳述所載日期	9,260	03-02-019.txt
第三輯 文集類	教育．文化．文學	從東西方文化談佛教文化	（一九五七年十月八日於新店）	#NAME?	作品陳述所載日期	4,218	03-03-001.txt
第三輯 文集類	教育．文化．文學	留學譯經與中國的佛教教育	（一九六○年九月寫於北投，刊於《人生》十二卷九期）	#NAME?	作品陳述所載日期	1,956	03-03-002.txt
第三輯 文集類	教育．文化．文學	教育．宗教．佛教的宗教教育	（一九六一年六月寫於北投，刊於《人生》十三卷七期）	#NAME?	作品陳述所載日期	7,124	03-03-003.txt
第三輯 文集類	教育．文化．文學	佛教的教育與文化	（原收於《聖嚴文集》）	1963.05	前身著作初版日期	2,814	03-03-004.txt
第三輯 文集類	教育．文化．文學	中國當代佛教的苦悶  ——送青松法師東渡有感	（一九六一年六月，刊於《人生》十三卷六期）	#NAME?	作品陳述所載日期	2,129	03-03-005.txt
第三輯 文集類	教育．文化．文學	引論今後中國佛教的教育與文化  ——有感於詹勵吾居士的發心捐產	（一九六一年六月十五日，刊於《覺世》一四八期）	#NAME?	作品陳述所載日期	4,531	03-03-006.txt
第三輯 文集類	教育．文化．文學	再論今後中國佛教的教育與文化	（刊於《覺世》一五○期）	1961.06	作品陳述-DILA總圖期刊所載《覺世》出刊日	4,016	03-03-007.txt
第三輯 文集類	教育．文化．文學	世界各國宗教教育現況及展望	（一九八一年九月十九日講於陽明山中華學術院宗教與道德研究所第四十四次講論會，由兼所長張其昀曉峰先生主持，刊於《菩提樹》三四八期）	#NAME?	作品陳述所載日期	6,290	03-03-008.txt
第三輯 文集類	教育．文化．文學	培訓佛教人才開創佛教事業	（刊於一九八九年六月十五日《人生》七十期）	#NAME?	作品陳述所載日期	1,776	03-03-009.txt
第三輯 文集類	教育．文化．文學	承先啟後  ——召開「中華國際佛學會議」緣起	（講於一九九○年一月十二日，刊於《人生》七十七期）	#NAME?	作品陳述所載日期	2,917	03-03-010.txt
第三輯 文集類	教育．文化．文學	「第二屆中華國際佛學會議」開幕詞	（講於一九九二年七月十九日，刊於《人生》一○七期）	#NAME?	作品陳述所載日期	908	03-03-011.txt
第三輯 文集類	教育．文化．文學	「第二屆中華國際佛學會議」閉幕詞	（講於一九九二年七月二十日，刊於《人生》一○八期）	#NAME?	作品陳述所載日期	606	03-03-012.txt
第三輯 文集類	教育．文化．文學	「第三屆中華國際佛學會議」開幕詞	（一九九七年七月十七日講於臺北市國家圖書館，刊於《人生》一六八期）	#NAME?	作品陳述所載日期	974	03-03-013.txt
第三輯 文集類	教育．文化．文學	「第三屆中華國際佛學會議」閉幕詞	（一九九七年七月二十一日講於臺北市國家圖書館，刊於《人生》一六八期）	#NAME?	作品陳述所載日期	1,032	03-03-014.txt
第三輯 文集類	教育．文化．文學	「兩岸佛學教育交流座談會」開幕詞	（一九九八年七月七日講於臺北市國立臺灣師範大學綜合大樓，刊於一九九八年八月《人生》一八○期）	#NAME?	作品陳述所載日期	866	03-03-015.txt
第三輯 文集類	教育．文化．文學	「兩岸佛學教育交流座談會」引言	（一九九八年七月七日講於臺北市國立臺灣師範大學綜合大樓第一會議廳，刊於一九九八年八月《人生》一八○期）	#NAME?	作品陳述所載日期	3,791	03-03-016.txt
第三輯 文集類	教育．文化．文學	端正人心從教育著手  ——專訪聖嚴法師獲頒好人好事八德獎 《法鼓》雜誌編輯部	（刊於一九九○年十二月十五日《法鼓》雜誌十二期）	#NAME?	作品陳述所載日期	1,741	03-03-017.txt
第三輯 文集類	教育．文化．文學	讓他們重新雕塑自己  ——談大專青年佛學夏令營 歐明慧	（刊於一九九四年九月《人生》一二一期）	#NAME?	作品陳述所載日期	1,660	03-03-018.txt
第三輯 文集類	教育．文化．文學	佛教高等教育的開展  ——「中華佛學研究所成立大會」致詞	（講於一九八七年八月二十二日，刊於一九八七年九月十五日《人生》四十九期）	#NAME?	作品陳述所載日期	4,856	03-03-019.txt
